Ano,Região,Tipo de voto/Candidato,Votos
2026 - 2.ª volta,Águeda,Voto em branco,890
2026 - 2.ª volta,Albergaria-a-Velha,Voto em branco,447
2026 - 2.ª volta,Anadia,Voto em branco,601
2026 - 2.ª volta,Arouca,Voto em branco,460
2026 - 2.ª volta,Aveiro,Voto em branco,1580
2026 - 2.ª volta,Castelo de Paiva,Voto em branco,235
2026 - 2.ª volta,Espinho,Voto em branco,637
2026 - 2.ª volta,Estarreja,Voto em branco,397
2026 - 2.ª volta,Santa Maria da Feira,Voto em branco,2567
2026 - 2.ª volta,Ílhavo,Voto em branco,788
2026 - 2.ª volta,Mealhada,Voto em branco,344
2026 - 2.ª volta,Murtosa,Voto em branco,181
2026 - 2.ª volta,Oliveira de Azeméis,Voto em branco,1073
2026 - 2.ª volta,Oliveira do Bairro,Voto em branco,506
2026 - 2.ª volta,Ovar,Voto em branco,956
2026 - 2.ª volta,São João da Madeira,Voto em branco,395
2026 - 2.ª volta,Sever do Vouga,Voto em branco,201
2026 - 2.ª volta,Vagos,Voto em branco,428
2026 - 2.ª volta,Vale de Cambra,Voto em branco,386
2026 - 2.ª volta,Aljustrel,Voto em branco,99
2026 - 2.ª volta,Almodôvar,Voto em branco,94
2026 - 2.ª volta,Alvito,Voto em branco,29
2026 - 2.ª volta,Barrancos,Voto em branco,27
2026 - 2.ª volta,Beja,Voto em branco,497
2026 - 2.ª volta,Castro Verde,Voto em branco,104
2026 - 2.ª volta,Cuba,Voto em branco,64
2026 - 2.ª volta,Ferreira do Alentejo,Voto em branco,67
2026 - 2.ª volta,Mértola,Voto em branco,103
2026 - 2.ª volta,Moura,Voto em branco,154
2026 - 2.ª volta,Odemira,Voto em branco,279
2026 - 2.ª volta,Ourique,Voto em branco,81
2026 - 2.ª volta,Serpa,Voto em branco,137
2026 - 2.ª volta,Vidigueira,Voto em branco,60
2026 - 2.ª volta,Amares,Voto em branco,437
2026 - 2.ª volta,Barcelos,Voto em branco,2741
2026 - 2.ª volta,Braga,Voto em branco,4091
2026 - 2.ª volta,Cabeceiras de Basto,Voto em branco,224
2026 - 2.ª volta,Celorico de Basto,Voto em branco,285
2026 - 2.ª volta,Esposende,Voto em branco,836
2026 - 2.ª volta,Fafe,Voto em branco,1034
2026 - 2.ª volta,Guimarães,Voto em branco,4065
2026 - 2.ª volta,Póvoa de Lanhoso,Voto em branco,521
2026 - 2.ª volta,Terras de Bouro,Voto em branco,140
2026 - 2.ª volta,Vieira do Minho,Voto em branco,265
2026 - 2.ª volta,Vila Nova de Famalicão,Voto em branco,3274
2026 - 2.ª volta,Vila Verde,Voto em branco,1144
2026 - 2.ª volta,Vizela,Voto em branco,444
2026 - 2.ª volta,Alfândega da Fé,Voto em branco,78
2026 - 2.ª volta,Bragança,Voto em branco,408
2026 - 2.ª volta,Carrazeda de Ansiães,Voto em branco,83
2026 - 2.ª volta,Freixo de Espada à Cinta,Voto em branco,20
2026 - 2.ª volta,Macedo de Cavaleiros,Voto em branco,193
2026 - 2.ª volta,Miranda do Douro,Voto em branco,118
2026 - 2.ª volta,Mirandela,Voto em branco,248
2026 - 2.ª volta,Mogadouro,Voto em branco,134
2026 - 2.ª volta,Torre de Moncorvo,Voto em branco,100
2026 - 2.ª volta,Vila Flor,Voto em branco,99
2026 - 2.ª volta,Vimioso,Voto em branco,64
2026 - 2.ª volta,Vinhais,Voto em branco,58
2026 - 2.ª volta,Belmonte,Voto em branco,56
2026 - 2.ª volta,Castelo Branco,Voto em branco,674
2026 - 2.ª volta,Covilhã,Voto em branco,606
2026 - 2.ª volta,Fundão,Voto em branco,354
2026 - 2.ª volta,Idanha-a-Nova,Voto em branco,56
2026 - 2.ª volta,Oleiros,Voto em branco,106
2026 - 2.ª volta,Penamacor,Voto em branco,20
2026 - 2.ª volta,Proença-a-Nova,Voto em branco,102
2026 - 2.ª volta,Sertã,Voto em branco,192
2026 - 2.ª volta,Vila de Rei,Voto em branco,63
2026 - 2.ª volta,Vila Velha de Ródão,Voto em branco,29
2026 - 2.ª volta,Arganil,Voto em branco,126
2026 - 2.ª volta,Cantanhede,Voto em branco,684
2026 - 2.ª volta,Coimbra,Voto em branco,2508
2026 - 2.ª volta,Condeixa-a-Nova,Voto em branco,276
2026 - 2.ª volta,Figueira da Foz,Voto em branco,1033
2026 - 2.ª volta,Góis,Voto em branco,52
2026 - 2.ª volta,Lousã,Voto em branco,280
2026 - 2.ª volta,Mira,Voto em branco,271
2026 - 2.ª volta,Miranda do Corvo,Voto em branco,201
2026 - 2.ª volta,Montemor-o-Velho,Voto em branco,392
2026 - 2.ª volta,Oliveira do Hospital,Voto em branco,246
2026 - 2.ª volta,Pampilhosa da Serra,Voto em branco,36
2026 - 2.ª volta,Penacova,Voto em branco,238
2026 - 2.ª volta,Penela,Voto em branco,92
2026 - 2.ª volta,Soure,Voto em branco,230
2026 - 2.ª volta,Tábua,Voto em branco,103
2026 - 2.ª volta,Vila Nova de Poiares,Voto em branco,142
2026 - 2.ª volta,Alandroal,Voto em branco,21
2026 - 2.ª volta,Arraiolos,Voto em branco,95
2026 - 2.ª volta,Borba,Voto em branco,100
2026 - 2.ª volta,Estremoz,Voto em branco,195
2026 - 2.ª volta,Évora,Voto em branco,989
2026 - 2.ª volta,Montemor-o-Novo,Voto em branco,285
2026 - 2.ª volta,Mora,Voto em branco,49
2026 - 2.ª volta,Mourão,Voto em branco,39
2026 - 2.ª volta,Portel,Voto em branco,71
2026 - 2.ª volta,Redondo,Voto em branco,92
2026 - 2.ª volta,Reguengos de Monsaraz,Voto em branco,128
2026 - 2.ª volta,Vendas Novas,Voto em branco,201
2026 - 2.ª volta,Viana do Alentejo,Voto em branco,62
2026 - 2.ª volta,Vila Viçosa,Voto em branco,123
2026 - 2.ª volta,Albufeira,Voto em branco,514
2026 - 2.ª volta,Alcoutim,Voto em branco,36
2026 - 2.ª volta,Aljezur,Voto em branco,53
2026 - 2.ª volta,Castro Marim,Voto em branco,76
2026 - 2.ª volta,Faro,Voto em branco,1124
2026 - 2.ª volta,Lagoa,Voto em branco,287
2026 - 2.ª volta,Lagos,Voto em branco,440
2026 - 2.ª volta,Loulé,Voto em branco,868
2026 - 2.ª volta,Monchique,Voto em branco,94
2026 - 2.ª volta,Olhão,Voto em branco,597
2026 - 2.ª volta,Portimão,Voto em branco,802
2026 - 2.ª volta,São Brás de Alportel,Voto em branco,168
2026 - 2.ª volta,Silves,Voto em branco,448
2026 - 2.ª volta,Tavira,Voto em branco,343
2026 - 2.ª volta,Vila do Bispo,Voto em branco,56
2026 - 2.ª volta,Vila Real de Santo António,Voto em branco,176
