padrao,vertente_id,vertente_nome,camada,prioridade,ganho,pureza,suporte,exemplos
IGREJA EVANJELICA,121096,Evangélica não determinada,grafia,90,188,1.0,0,IGREJA EVANJELICA | IGREJA EVANJELICA JESUS E O CAMINHO | IGREJA EVANJELICA DEUS E FIEL
ASSEMBLEI DE DEUS,100409,Evangélicas de origem pentecostal - Igreja Assembléia de Deus,grafia,90,142,1.0,0,ASSEMBLEI DE DEUS | ASSEMBLEI DE DEUS COMADEMAT | ASSEMBLEI DE DEUS MONTE SINAI
IGREJA EVANGLICA,121096,Evangélica não determinada,grafia,90,127,1.0,0,IGREJA EVANGLICA COMUNIDADE AGUA DA FONT | IGREJA EVANGLICA DE DEUS NOAMAZONAS | IGREJA EVANGLICA PENIEL
IGREJA EVANGELUCA,121096,Evangélica não determinada,grafia,90,127,1.0,0,IGREJA EVANGELUCA JUSTOS PELA FE | IGREJA EVANGELUCA RENIEL | IGREJA EVANGELUCA DA UNICIDAFE
IGREJA ASSEMBLEA DE DEUS,100409,Evangélicas de origem pentecostal - Igreja Assembléia de Deus,grafia,90,122,1.0,0,IGREJA ASSEMBLEA DE DEUS FILIAL DE ROCHA | IGREJA ASSEMBLEA DE DEUS MINISTERIO DA M | IGREJA ASSEMBLEA DE DEUS NOVA JERUSALEM
IGREJA ASSEMBLIA DE DEUS,100409,Evangélicas de origem pentecostal - Igreja Assembléia de Deus,grafia,90,118,1.0,0,IGREJA ASSEMBLIA DE DEUS MINIDTERIO GETS | IGREJA ASSEMBLIA DE DEUS EFRAIM | IGREJA ASSEMBLIA DE DEUS LIBERDADE CRISTAO
TERRERO,2827,Umbanda e Candomblé,grafia,90,117,1.0,0,TERRERO DE SANTO ANTONIO | TERRERO | TERRERO DE LENBA
IGREJA ADIVENTISTA DO SETIMO DIA,99739,Evangélicas de Missão - Evangélica Adventista do Sétimo Dia,grafia,90,108,1.0,0,IGREJA ADIVENTISTA DO SETIMO DIA | IGREJA ADIVENTISTA DO SETIMO DIA SOL NASCENTE
IGREJA PENTECISTAL,95265,Evangélicas de origem pentecostal,grafia,90,106,1.0,0,IGREJA PENTECISTAL SANTUAEIO DE ORACAO | IGREJA PENTECISTAL LEVANDO PESSOAS PARA CRISTO | IGREJA PENTECISTAL PROFUNDOS MILAGRES
IGREJA BASTISTA,99741,Evangélicas de Missão - Igreja Evangélica Batista,grafia,90,106,1.0,0,IGREJA BASTISTA FILADELFIA | IGREJA BASTISTA NOVA FILADEFIA | IGREJA BASTISTA DA FAMILIA
