padrao,vertente_id,fonte,confianca,excluir,prioridade
TERREIRO DE CAFE,,inferencia_nome,alta,true,100
TERREIRO CAFE,,inferencia_nome,alta,true,100
TERREIRO DE SECAR CAFE,,inferencia_nome,alta,true,100
TERREIRO SECAR CAFE,,inferencia_nome,alta,true,100
TERREIRO DE SECAGEM DE CAFE,,inferencia_nome,alta,true,100
TERREIRO DE SECAGEM,,inferencia_nome,alta,true,100
TERREIRO DE PEDRA,,inferencia_nome,alta,true,100
TERREIRO TULHA,,inferencia_nome,alta,true,100
TULHA E TERREIRO DE PEDRA,,inferencia_nome,alta,true,100
CAPELA MORTUARIA,,inferencia_nome,alta,true,100
CAPELA VELORIO,,inferencia_nome,alta,true,100
CAPELA DO CEMITERIO,,inferencia_nome,alta,true,100
ASSEMBLEIA LEGISLATIVA,,inferencia_nome,alta,true,100
MINISTERIO PUBLICO,,inferencia_nome,alta,true,100
MINISTERIO DO TRABALHO,,inferencia_nome,alta,true,100
MINISTERIO DA FAZENDA,,inferencia_nome,alta,true,100
MINISTERIO DA SAUDE,,inferencia_nome,alta,true,100
MINISTERIO DA EDUCACAO,,inferencia_nome,alta,true,100
MINISTERIO DA JUSTICA,,inferencia_nome,alta,true,100
MINISTERIO DA AGRICULTURA,,inferencia_nome,alta,true,100
MINISTERIO DO MEIO AMBIENTE,,inferencia_nome,alta,true,100
MINISTERIO DA DEFESA,,inferencia_nome,alta,true,100
MINISTERIO DAS RELACOES,,inferencia_nome,alta,true,100
MINISTERIO DA CULTURA,,inferencia_nome,alta,true,100
MINISTERIO DE MINAS,,inferencia_nome,alta,true,100
MINISTERIO DO PLANEJAMENTO,,inferencia_nome,alta,true,100
MINISTERIO DO TURISMO,,inferencia_nome,alta,true,100
MINISTERIO DAS CIDADES,,inferencia_nome,alta,true,100
MINISTERIO DA CIENCIA,,inferencia_nome,alta,true,100
MINISTERIO DA INFRAESTRUTURA,,inferencia_nome,alta,true,100
MINISTERIO DA INTEGRACAO,,inferencia_nome,alta,true,100
SANTUARIO ECOLOGICO,,inferencia_nome,alta,true,100
SANTUARIO DE VIDA,,inferencia_nome,alta,true,100
SANTUARIO DE ANIMAIS,,inferencia_nome,alta,true,100
FARMACIA CATEDRAL,,inferencia_nome,alta,true,100
DROGARIA CATEDRAL,,inferencia_nome,alta,true,100
RESTAURANTE CATEDRAL,,inferencia_nome,alta,true,100
IGREJA DESATIVADA,,inferencia_nome,alta,true,100
IGREJA ABANDONADA,,inferencia_nome,alta,true,100
IGREJA FECHADA,,inferencia_nome,alta,true,100
ESTACIONAMENTO DA IGREJA,,inferencia_nome,alta,true,100
ESTACIONAMENTO IGREJA,,inferencia_nome,alta,true,100
ESCRITORIO DA IGREJA,,inferencia_nome,alta,true,100
ESCRITORIO DA PAROQUIA,,inferencia_nome,alta,true,100
ESCRITORIO PAROQUIAL,,inferencia_nome,alta,true,100
SECRETARIA DA IGREJA,,inferencia_nome,alta,true,100
SECRETARIA DA PAROQUIA,,inferencia_nome,alta,true,100
SECRETARIA PAROQUIAL,,inferencia_nome,alta,true,100
CENTRO PAROQUIAL,,inferencia_nome,media,true,100
CASA PAROQUIAL,,inferencia_nome,alta,true,100
SALAO PAROQUIAL,,inferencia_nome,alta,true,100
DEPOSITO DA IGREJA,,inferencia_nome,alta,true,100
BARRACAO DA IGREJA,,inferencia_nome,alta,true,100
BARACAO DA IGREJA,,inferencia_nome,alta,true,100
BARRACAO DE FESTA DA IGREJA,,inferencia_nome,alta,true,100
BARRACAO DE FESTAS DA IGREJA,,inferencia_nome,alta,true,100
BARRACAO DA IGREJA ASSEMBLEIA,,inferencia_nome,alta,true,100
SALAO DE FESTAS DA IGREJA,,inferencia_nome,alta,true,100
SALAO DE FESTA DA IGREJA,,inferencia_nome,alta,true,100
SALAO DE EVENTOS DA IGREJA,,inferencia_nome,alta,true,100
SALAO COMUNITARIO DA IGREJA,,inferencia_nome,alta,true,100
CENTRO COMUNITARIO DA IGREJA,,inferencia_nome,alta,true,100
SALAO DA IGREJA,,inferencia_nome,media,true,100
SALAO IGREJA,,inferencia_nome,media,true,100
ANEXO DA IGREJA,,inferencia_nome,alta,true,100
REFEITORIO DA IGREJA,,inferencia_nome,alta,true,100
REFEITORIO DA ASSEMBLEIA,,inferencia_nome,alta,true,100
CANTINA DA IGREJA,,inferencia_nome,alta,true,100
CANTINA DA IGREJA ASSEMBLEIA,,inferencia_nome,alta,true,100
COZINHA DA IGREJA,,inferencia_nome,alta,true,100
GALPAO DA IGREJA,,inferencia_nome,alta,true,100
GARAGEM DA IGREJA,,inferencia_nome,alta,true,100
BARRACA DA IGREJA,,inferencia_nome,alta,true,100
BARRAQUINHA DA IGREJA,,inferencia_nome,alta,true,100
FUNDOS DA IGREJA,,inferencia_nome,alta,true,100
FUNDO DA IGREJA,,inferencia_nome,alta,true,100
ESCOLINHA DA IGREJA,,inferencia_nome,alta,true,100
ESCOLA DA IGREJA,,inferencia_nome,alta,true,100
CASA DA IGREJA,,inferencia_nome,media,true,100
BAZAR DA IGREJA,,inferencia_nome,alta,true,100
LANCHONETE DA IGREJA,,inferencia_nome,alta,true,100
BAR DA IGREJA,,inferencia_nome,alta,true,100
LOJA DA IGREJA,,inferencia_nome,alta,true,100
DEPENDENCIA DA IGREJA,,inferencia_nome,media,true,100
DEPENDENCIAS DA IGREJA,,inferencia_nome,media,true,100
PARTE DA IGREJA,,inferencia_nome,media,true,100
FAZ PARTE DA IGREJA,,inferencia_nome,media,true,100
SEDE DA IGREJA,,inferencia_nome,media,true,100
ADMINISTRACAO DA IGREJA,,inferencia_nome,alta,true,100
TERRENO DA IGREJA,,inferencia_nome,alta,true,100
ALOJAMENTO DA IGREJA,,inferencia_nome,alta,true,100
USO DA IGREJA,,inferencia_nome,media,true,100
ESPACO DA IGREJA,,inferencia_nome,media,true,100
BANHEIRO DA IGREJA,,inferencia_nome,alta,true,100
PASTORAL DA IGREJA,,inferencia_nome,media,true,100
PAVILHAO DA IGREJA,,inferencia_nome,media,true,100
SALAS DA IGREJA,,inferencia_nome,media,true,100
SALA DA IGREJA,,inferencia_nome,media,true,100
IGREJA ADVENTISTA DA PROMESSA,95265,pesquisa_web,alta,false,95
IGREJA CATOLICA APOSTOLICA ROMANA,95263,censo2010_nomenclatura,alta,false,100
IGREJA APOSTOLICA ROMANA,95263,revisao_fable,alta,false,100
IGREJA CATOLICA,95263,censo2010_nomenclatura,alta,false,100
PAROQUIA,95263,inferencia_nome,alta,false,100
IGREJA MATRIZ,95263,inferencia_nome,alta,false,100
DIOCESE,95263,inferencia_nome,alta,false,100
IGREJA NOSSA SENHORA,95263,inferencia_nome,alta,false,100
IGREJA SAO,95263,inferencia_nome,media,false,100
IGREJA SANTO,95263,inferencia_nome,media,false,100
IGREJA SANTA,95263,inferencia_nome,media,false,100
CAPELA NOSSA SENHORA,95263,inferencia_nome,alta,false,100
CAPELA SAO,95263,inferencia_nome,media,false,100
CAPELA,95263,inferencia_nome,media,false,100
SANTUARIO NOSSA SENHORA,95263,revisao_fable,alta,false,100
SANTUARIO SAO,95263,revisao_fable,media,false,100
SANTUARIO SANTA,95263,revisao_fable,media,false,100
