"Nível";"Cód.";"Brasil e Município";"Grupo de idade";"Católica Apostólica Romana";"Evangélicas";"Espírita";"Umbanda e Candomblé";"Tradições indígenas";"Outras religiosidades";"Sem religião";"Não sabe";"Sem declaração"
"MU";"1100015";"Alta Floresta D'Oeste (RO)";"Total";"9252";"6570";"79";"-";"-";"590";"1909";"-";"8"
"MU";"1100023";"Ariquemes (RO)";"Total";"28234";"34966";"375";"152";"27";"3603";"15160";"-";"95"
"MU";"1100031";"Cabixi (RO)";"Total";"2652";"1700";"-";"4";"-";"105";"201";"-";"7"
"MU";"1100049";"Cacoal (RO)";"Total";"29034";"32480";"712";"129";"14";"3161";"9376";"28";"328"
"MU";"1100056";"Cerejeiras (RO)";"Total";"6781";"5396";"22";"9";"4";"217";"1143";"4";"-"
"MU";"1100064";"Colorado do Oeste (RO)";"Total";"7565";"4891";"32";"-";"-";"177";"950";"-";"11"
"MU";"1100072";"Corumbiara (RO)";"Total";"3749";"2233";"-";"2";"6";"31";"443";"-";"-"
"MU";"1100080";"Costa Marques (RO)";"Total";"5127";"4213";"17";"10";"-";"152";"992";"17";"-"
"MU";"1100098";"Espigão D'Oeste (RO)";"Total";"8734";"12362";"20";"-";"1";"501";"3166";"-";"382"
"MU";"1100106";"Guajará-Mirim (RO)";"Total";"14522";"13104";"113";"70";"-";"924";"3481";"139";"136"
"MU";"1100114";"Jaru (RO)";"Total";"18474";"19728";"55";"65";"18";"1107";"3704";"-";"140"
"MU";"1100122";"Ji-Paraná (RO)";"Total";"35565";"48659";"416";"75";"232";"4782";"15905";"372";"390"
"MU";"1100130";"Machadinho D'Oeste (RO)";"Total";"7950";"12278";"30";"-";"-";"722";"4890";"-";"10"
"MU";"1100148";"Nova Brasilândia D'Oeste (RO)";"Total";"6739";"5212";"-";"12";"-";"321";"1342";"-";"-"
"MU";"1100155";"Ouro Preto do Oeste (RO)";"Total";"12831";"11520";"108";"72";"-";"707";"5148";"-";"31"
"MU";"1100189";"Pimenta Bueno (RO)";"Total";"13272";"12446";"79";"19";"-";"778";"3485";"12";"27"
"MU";"1100205";"Porto Velho (RO)";"Total";"158549";"151530";"4005";"2631";"250";"22917";"51216";"317";"582"
"MU";"1100254";"Presidente Médici (RO)";"Total";"8568";"6608";"16";"-";"-";"529";"1089";"-";"-"
"MU";"1100262";"Rio Crespo (RO)";"Total";"1203";"1316";"7";"-";"-";"49";"368";"-";"36"
"MU";"1100288";"Rolim de Moura (RO)";"Total";"18282";"19878";"218";"65";"-";"853";"9008";"-";"176"
"MU";"1100296";"Santa Luzia D'Oeste (RO)";"Total";"3324";"2415";"3";"3";"-";"105";"627";"-";"3"
"MU";"1100304";"Vilhena (RO)";"Total";"32407";"34111";"681";"271";"21";"5172";"8918";"5";"146"
"MU";"1100320";"São Miguel do Guaporé (RO)";"Total";"8264";"7456";"31";"-";"-";"416";"2204";"-";"4"
"MU";"1100338";"Nova Mamoré (RO)";"Total";"8567";"8937";"50";"7";"-";"652";"2705";"-";"153"
"MU";"1100346";"Alvorada D'Oeste (RO)";"Total";"6300";"4020";"13";"-";"35";"154";"819";"-";"46"
"MU";"1100379";"Alto Alegre dos Parecis (RO)";"Total";"4686";"3984";"5";"5";"-";"87";"971";"-";"6"
"MU";"1100403";"Alto Paraíso (RO)";"Total";"6976";"5247";"88";"36";"-";"211";"1253";"-";"92"
"MU";"1100452";"Buritis (RO)";"Total";"8807";"10798";"75";"20";"-";"452";"3556";"-";"-"
"MU";"1100502";"Novo Horizonte do Oeste (RO)";"Total";"3349";"2919";"-";"-";"-";"56";"362";"-";"5"
"MU";"1100601";"Cacaulândia (RO)";"Total";"1746";"1265";"-";"-";"-";"65";"466";"-";"3"
"MU";"1100700";"Campo Novo de Rondônia (RO)";"Total";"3099";"3528";"14";"14";"-";"206";"656";"-";"-"
"MU";"1100809";"Candeias do Jamari (RO)";"Total";"6359";"8525";"83";"10";"39";"679";"2854";"-";"42"
"MU";"1100908";"Castanheiras (RO)";"Total";"1411";"1021";"-";"3";"-";"67";"300";"3";"-"
"MU";"1100924";"Chupinguaia (RO)";"Total";"3586";"2884";"10";"-";"1";"101";"1191";"-";"-"
"MU";"1100940";"Cujubim (RO)";"Total";"4249";"5021";"7";"7";"-";"345";"2727";"-";"-"
"MU";"1101005";"Governador Jorge Teixeira (RO)";"Total";"3719";"2366";"11";"4";"75";"116";"539";"6";"27"
"MU";"1101104";"Itapuã do Oeste (RO)";"Total";"2338";"2874";"13";"19";"-";"161";"1672";"-";"15"
"MU";"1101203";"Ministro Andreazza (RO)";"Total";"2820";"2385";"-";"-";"-";"70";"439";"-";"6"
"MU";"1101302";"Mirante da Serra (RO)";"Total";"3314";"3530";"-";"-";"108";"130";"932";"-";"5"
"MU";"1101401";"Monte Negro (RO)";"Total";"4280";"4202";"11";"6";"-";"173";"1270";"-";"-"
"MU";"1101435";"Nova União (RO)";"Total";"2757";"2065";"-";"2";"-";"52";"534";"-";"-"
