uf;municipio;lat;long;population;catolica-apostolica-romana;evangelicas;espirita;umbanda-e-candomble;tradicoes-indigenas;outras-religiosidades;sem-religiao;nao-sabe;sem-declaracao
RO;Alta Floresta d'Oeste;-11.9355403048;-61.9998238963;18408;50.261;35.691;0.429;0.0;0.0;3.205;10.37;0.0;0.043
RO;Ariquemes;-9.9084628666;-63.033269278;82612;34.177;42.326;0.454;0.184;0.033;4.361;18.351;0.0;0.115
RO;Cabixi;-13.4997634597;-60.5443135812;4669;56.8;36.41;0.0;0.086;0.0;2.249;4.305;0.0;0.15
RO;Cacoal;-11.4338650287;-61.4429442118;75262;38.577;43.156;0.946;0.171;0.019;4.2;12.458;0.037;0.436
RO;Cerejeiras;-13.195033032;-60.8184261647;13576;49.948;39.747;0.162;0.066;0.029;1.598;8.419;0.029;0.0
RO;Colorado do Oeste;-13.1305638415;-60.5550674631;13626;55.519;35.895;0.235;0.0;0.0;1.299;6.972;0.0;0.081
RO;Corumbiara;-12.9975202365;-60.9487011707;6464;57.998;34.545;0.0;0.031;0.093;0.48;6.853;0.0;0.0
RO;Costa Marques;-12.4360138777;-64.2316539391;10528;48.699;40.017;0.161;0.095;0.0;1.444;9.422;0.161;0.0
RO;Espigão d'Oeste;-11.5285546333;-61.0201731133;25166;34.706;49.122;0.079;0.0;0.004;1.991;12.58;0.0;1.518
RO;Guajará-Mirim;-10.7738837407;-65.3239518197;32489;44.698;40.334;0.348;0.215;0.0;2.844;10.714;0.428;0.419
RO;Jaru;-10.4359487679;-62.4762307081;43291;42.674;45.571;0.127;0.15;0.042;2.557;8.556;0.0;0.323
RO;Ji-Paraná;-10.8820513183;-61.9450945827;106396;33.427;45.734;0.391;0.07;0.218;4.495;14.949;0.35;0.367
RO;Machadinho d'Oeste;-9.42556248;-61.9995925724;25880;30.719;47.442;0.116;0.0;0.0;2.79;18.895;0.0;0.039
RO;Nova Brasilândia d'Oeste;-11.7213254139;-62.308230163;13626;49.457;38.25;0.0;0.088;0.0;2.356;9.849;0.0;0.0
RO;Ouro Preto do Oeste;-10.7235739008;-62.2610551904;30417;42.184;37.874;0.355;0.237;0.0;2.324;16.925;0.0;0.102
RO;Pimenta Bueno;-11.67753699;-61.1836656736;30118;44.067;41.324;0.262;0.063;0.0;2.583;11.571;0.04;0.09
RO;Porto Velho;-8.76889179;-63.8314456544;391997;40.446;38.656;1.022;0.671;0.064;5.846;13.065;0.081;0.148
RO;Presidente Médici;-11.1732050162;-61.9094386835;16810;50.97;39.31;0.095;0.0;0.0;3.147;6.478;0.0;0.0
RO;Rio Crespo;-9.7055367097;-62.900010366;2979;40.383;44.176;0.235;0.0;0.0;1.645;12.353;0.0;1.208
RO;Rolim de Moura;-11.7222589134;-61.7857809352;48480;37.71;41.002;0.45;0.134;0.0;1.759;18.581;0.0;0.363
RO;Santa Luzia d'Oeste;-11.9084233325;-61.7733054631;6480;51.296;37.269;0.046;0.046;0.0;1.62;9.676;0.0;0.046
RO;Vilhena;-12.7413734718;-60.1385838661;81732;39.65;41.735;0.833;0.332;0.026;6.328;10.911;0.006;0.179
RO;São Miguel do Guaporé;-11.6994897438;-62.7200634814;18375;44.974;40.577;0.169;0.0;0.0;2.264;11.995;0.0;0.022
RO;Nova Mamoré;-10.4117712947;-65.3291490231;21071;40.658;42.414;0.237;0.033;0.0;3.094;12.838;0.0;0.726
RO;Alvorada d'Oeste;-11.3441300234;-62.2772748657;11387;55.326;35.303;0.114;0.0;0.307;1.352;7.192;0.0;0.404
RO;Alto Alegre dos Parecis;-12.1317772246;-61.8530771686;9744;48.091;40.887;0.051;0.051;0.0;0.893;9.965;0.0;0.062
