razao_social,latitude,longitude,data_inicio_atividade
ASSEMBLEIA DE DEUS VITORIA EM CRISTO,-22.879054,-43.40509,1971-09-29
ASSEMBLEIA DE DEUS VITORIA EM CRISTO,-22.845872,-43.280866,1971-09-29
ASSEMBLEIA DE DEUS VITORIA EM CRISTO,-22.948262,-43.193123,1971-09-29
ASSEMBLEIA DE DEUS VITORIA EM CRISTO,-22.81491,-43.426431,1971-09-29
ASSEMBLEIA DE DEUS VITORIA EM CRISTO,-22.822084,-43.287188,1971-09-29
ASSEMBLEIA DE DEUS VITORIA EM CRISTO,-22.961122,-43.166955,1971-09-29
ASSEMBLEIA DE DEUS VITORIA EM CRISTO,-22.848553,-43.28409,1971-09-29
ASSEMBLEIA DE DEUS VITORIA EM CRISTO,-22.844975,-43.297484,1971-09-29
ASSEMBLEIA DE DEUS VITORIA EM CRISTO,-22.856606,-43.242987,1971-09-29
ASSEMBLEIA DE DEUS VITORIA EM CRISTO,-22.84423,-43.308163,1971-09-29
ASSEMBLEIA DE DEUS VITORIA EM CRISTO,-22.841506,-43.280409,1971-09-29
EDITORA CENTRAL GOSPEL LTDA,-22.934624,-43.379412,1999-05-07
EDITORA CENTRAL GOSPEL LTDA,-22.695794,-43.427371,2000-12-11
CONSELHO INTERDENOMINACIONAL DE MINISTROS EVANGELICOS DO BRASIL,-22.941436,-43.388765,2002-02-06
TALLI EVENTOS E PRODUCOES GOSPEL LTDA,-22.940543,-43.388197,2002-05-22
ASSEMBLEIA DE DEUS VITORIA EM CRISTO,-22.636214,-43.286293,2002-06-14
TALLI EVENTOS E PRODUCOES GOSPEL LTDA,-22.838997,-43.280759,2002-11-12
ASSEMBLEIA DE DEUS VITORIA EM CRISTO,-22.844945,-43.301197,2003-07-02
EDITORA CENTRAL GOSPEL LTDA,-22.835822,-43.279319,2004-05-06
EDITORA CENTRAL GOSPEL LTDA,-22.820391,-43.002272,2005-07-20
EDITORA CENTRAL GOSPEL LTDA,-22.831033,-43.273678,2005-09-13
ASSEMBLEIA DE DEUS VITORIA EM CRISTO,-22.824745,-43.04769,2005-09-19
EDITORA CENTRAL GOSPEL LTDA,-22.554753,-42.999793,2006-10-04
ASSEMBLEIA DE DEUS VITORIA EM CRISTO,-8.119932,-34.897135,2006-11-08
ASSEMBLEIA DE DEUS VITORIA EM CRISTO,-22.92902,-43.380143,2006-12-15
ASSEMBLEIA DE DEUS VITORIA EM CRISTO,-22.822437,-43.303502,2006-12-15
EDITORA CENTRAL GOSPEL LTDA,-22.896251,-43.122914,2007-03-22
ASSEMBLEIA DE DEUS VITORIA EM CRISTO,-22.881436,-43.464199,2007-04-18
ASSEMBLEIA DE DEUS VITORIA EM CRISTO,-22.827742,-43.27903,2007-04-18
EDITORA CENTRAL GOSPEL LTDA,-22.901291,-43.557849,2007-06-05
EDITORA CENTRAL GOSPEL LTDA,-23.710165,-46.406354,2007-07-31
ASSEMBLEIA DE DEUS VITORIA EM CRISTO,-22.033398,-42.380113,2007-10-11
ASSEMBLEIA DE DEUS VITORIA EM CRISTO,-22.838071,-43.312083,2008-03-13
ASSEMBLEIA DE DEUS VITORIA EM CRISTO,-22.830638,-43.313928,2008-03-13
ASSEMBLEIA DE DEUS VITORIA EM CRISTO,-22.768581,-43.386648,2008-03-13
ASSEMBLEIA DE DEUS VITORIA EM CRISTO,-22.850128,-43.469334,2008-03-13
ASSEMBLEIA DE DEUS VITORIA EM CRISTO,-22.776577,-43.362035,2008-03-13
ASSEMBLEIA DE DEUS VITORIA EM CRISTO,-22.872999,-43.372909,2008-03-13
ASSEMBLEIA DE DEUS VITORIA EM CRISTO,-22.541562,-41.985493,2008-03-13
ASSEMBLEIA DE DEUS VITORIA EM CRISTO,-22.843138,-43.283812,2008-03-13
ASSEMBLEIA DE DEUS VITORIA EM CRISTO,-22.837416,-43.283456,2008-03-13
ASSEMBLEIA DE DEUS VITORIA EM CRISTO,-22.909672,-43.289971,2008-04-14
EDITORA CENTRAL GOSPEL LTDA,-22.877805,-43.465591,2008-06-09
EDITORA VIDA VITORIOSA LTDA,-22.934551,-43.379349,2008-07-10
EDITORA CENTRAL GOSPEL LTDA,-22.787531,-43.285943,2008-09-25
ASSEMBLEIA DE DEUS VITORIA EM CRISTO,-22.758741,-43.303529,2008-11-06
ASSEMBLEIA DE DEUS VITORIA EM CRISTO,-22.769823,-43.283306,2008-11-06
ASSEMBLEIA DE DEUS VITORIA EM CRISTO,-22.61508,-43.234407,2008-11-06
ASSEMBLEIA DE DEUS VITORIA EM CRISTO,-22.734848,-43.310604,2008-11-06
ASSEMBLEIA DE DEUS VITORIA EM CRISTO,-22.869274,-43.341332,2008-11-06
ASSEMBLEIA DE DEUS VITORIA EM CRISTO,-22.532034,-41.973153,2009-01-15
ASSEMBLEIA DE DEUS VITORIA EM CRISTO,0.0,0.0,2009-01-15
ASSEMBLEIA DE DEUS VITORIA EM CRISTO,-20.602065,-41.20493,2009-01-15
ASSEMBLEIA DE DEUS VITORIA EM CRISTO,-22.843658,-43.287068,2010-07-19
ASSEMBLEIA DE DEUS VITORIA EM CRISTO,-22.808048,-43.302324,2010-07-19
ASSEMBLEIA DE DEUS VITORIA EM CRISTO,-22.828763,-43.321568,2010-07-19
ASSEMBLEIA DE DEUS VITORIA EM CRISTO,-22.848155,-43.283597,2010-07-19
ASSEMBLEIA DE DEUS VITORIA EM CRISTO,-22.862288,-43.334508,2010-07-19
ASSEMBLEIA DE DEUS VITORIA EM CRISTO,-22.799677,-43.021646,2010-07-19
ASSEMBLEIA DE DEUS VITORIA EM CRISTO,-22.846799,-43.278362,2010-07-19
ASSEMBLEIA DE DEUS VITORIA EM CRISTO,-22.852717,-43.295498,2010-07-19
ASSEMBLEIA DE DEUS VITORIA EM CRISTO,-22.888728,-43.362453,2010-07-19
ASSEMBLEIA DE DEUS VITORIA EM CRISTO,-22.867526,-43.294101,2010-07-19
ASSEMBLEIA DE DEUS VITORIA EM CRISTO,-22.994688,-43.240239,2010-07-19
ASSEMBLEIA DE DEUS VITORIA EM CRISTO,-22.834935,-43.290749,2010-07-19
ASSEMBLEIA DE DEUS VITORIA EM CRISTO,-22.848725,-43.283299,2010-07-19
ASSEMBLEIA DE DEUS VITORIA EM CRISTO,-22.668025,-43.133936,2010-07-19
ASSEMBLEIA DE DEUS VITORIA EM CRISTO,-10.425861,-48.897076,2010-07-19
ASSEMBLEIA DE DEUS VITORIA EM CRISTO,-23.01,-43.333975,2010-07-19
ASSEMBLEIA DE DEUS VITORIA EM CRISTO,-22.81468,-43.018246,2010-07-19
ASSEMBLEIA DE DEUS VITORIA EM CRISTO,-22.807655,-43.368855,2010-07-19
ASSEMBLEIA DE DEUS VITORIA EM CRISTO,-22.845476,-43.293009,2010-07-19
ASSEMBLEIA DE DEUS VITORIA EM CRISTO,-22.839886,-43.290144,2010-07-19
ASSEMBLEIA DE DEUS VITORIA EM CRISTO,-22.821264,-43.271395,2010-07-19
ASSEMBLEIA DE DEUS VITORIA EM CRISTO,-22.848167,-43.283399,2010-07-19
ASSEMBLEIA DE DEUS VITORIA EM CRISTO,-8.047648,-34.926673,2010-07-19
ASSEMBLEIA DE DEUS VITORIA EM CRISTO,-22.816484,-43.296567,2010-07-19
ASSEMBLEIA DE DEUS VITORIA EM CRISTO,-22.747505,-43.488572,2010-07-19
ASSEMBLEIA DE DEUS VITORIA EM CRISTO,-22.853285,-43.283651,2010-07-19
ASSEMBLEIA DE DEUS VITORIA EM CRISTO,-22.795755,-43.335589,2010-07-19
ASSEMBLEIA DE DEUS VITORIA EM CRISTO,-22.881747,-43.336489,2010-07-19
ASSEMBLEIA DE DEUS VITORIA EM CRISTO,-22.848826,-43.287822,2010-07-19
ASSEMBLEIA DE DEUS VITORIA EM CRISTO,-22.924919,-43.644413,2010-07-19
ASSEMBLEIA DE DEUS VITORIA EM CRISTO,-22.396612,-41.787771,2010-07-19
ASSEMBLEIA DE DEUS VITORIA EM CRISTO,-22.804967,-43.429346,2010-07-19
ASSEMBLEIA DE DEUS VITORIA EM CRISTO,-22.964881,-43.182654,2010-07-19
ASSEMBLEIA DE DEUS VITORIA EM CRISTO,-22.966035,-43.350025,2010-07-19
ASSEMBLEIA DE DEUS VITORIA EM CRISTO,-22.66815,-43.133559,2010-07-19
ASSEMBLEIA DE DEUS VITORIA EM CRISTO,-22.742692,-43.485556,2010-07-19
ASSEMBLEIA DE DEUS VITORIA EM CRISTO,-22.509351,-41.93929,2010-07-19
ASSEMBLEIA DE DEUS VITORIA EM CRISTO,-22.848494,-43.291735,2010-07-19
ASSEMBLEIA DE DEUS VITORIA EM CRISTO,-22.69192,-43.238105,2010-07-19
ASSEMBLEIA DE DEUS VITORIA EM CRISTO,-22.849955,-43.287388,2010-07-19
ASSEMBLEIA DE DEUS VITORIA EM CRISTO,-22.715347,-43.631857,2010-07-19
ASSEMBLEIA DE DEUS VITORIA EM CRISTO,-22.706747,-43.162961,2010-07-19
ASSEMBLEIA DE DEUS VITORIA EM CRISTO,-8.125765,-34.899975,2010-07-19
ASSEMBLEIA DE DEUS VITORIA EM CRISTO,-22.851261,-43.24384,2010-07-19
ASSEMBLEIA DE DEUS VITORIA EM CRISTO,-22.875942,-43.554881,2010-07-19
ASSEMBLEIA DE DEUS VITORIA EM CRISTO,-22.498537,-43.197445,2010-07-19
ASSEMBLEIA DE DEUS VITORIA EM CRISTO,-22.851115,-43.281593,2010-07-19
ASSEMBLEIA DE DEUS VITORIA EM CRISTO,-23.004184,-43.430005,2010-07-19
ASSEMBLEIA DE DEUS VITORIA EM CRISTO,-22.528955,-44.197714,2010-07-19
ASSEMBLEIA DE DEUS VITORIA EM CRISTO,-22.850645,-43.284788,2010-07-19
ASSEMBLEIA DE DEUS VITORIA EM CRISTO,-22.86103,-43.491169,2010-07-19
ASSEMBLEIA DE DEUS VITORIA EM CRISTO,-22.864933,-42.345337,2010-09-09
EDITORA CENTRAL GOSPEL LTDA,-23.000243,-43.338669,2010-11-17
ASSEMBLEIA DE DEUS VITORIA EM CRISTO,-22.681737,-42.001508,2010-11-18
ASSEMBLEIA DE DEUS VITORIA EM CRISTO,-22.865731,-42.309656,2011-01-14
EDITORA CENTRAL GOSPEL LTDA,-22.81722,-42.972959,2011-03-22
ASSEMBLEIA DE DEUS VITORIA EM CRISTO,-22.784003,-43.542018,2011-04-15
ASSEMBLEIA DE DEUS VITORIA EM CRISTO,-22.860882,-42.329594,2011-04-15
ASSEMBLEIA DE DEUS VITORIA EM CRISTO,-25.556146,-49.351064,2011-04-15
ASSEMBLEIA DE DEUS VITORIA EM CRISTO,-22.688056,-43.559784,2011-04-15
ASSEMBLEIA DE DEUS VITORIA EM CRISTO,-22.768623,-43.429802,2011-04-15
ASSEMBLEIA DE DEUS VITORIA EM CRISTO,-26.228796,-52.685955,2013-04-24
